"","am_sid","sciname"
"51","Fis-112538","Vanacampus phillipi"
"52","Fis-112543","Vanacampus poecilolaemus"
"53","Fis-112549","Vanacampus vercoi"
"54","Fis-11256","Limanda aspera"
"55","Fis-112580","Prionotus beanii"
"56","Fis-112582","Peristedion truncatum"
"57","Fis-112590","Peristedion ecuadorense"
"58","Fis-112634","Bathysolea polli"
"59","Fis-112639","Bathysolea lagarderae"
"60","Fis-112688","Pontinus helena"
"61","Fis-112689","Scorpaena agassizii"
"62","Fis-112702","Laemonema robustum"
"63","Fis-112703","Lepidion guentheri"
"64","Fis-112706","Bellator ribeiroi"
"65","Fis-112710","Holcomycteronus squamosus"
"66","Fis-112716","Bidenichthys consobrinus"
"67","Fis-112720","Haplocylix littoreus"
"68","Fis-112726","Gastroscyphus hectoris"
"69","Fis-112746","Trachelochismus pinnulatus"
"70","Fis-112752","Diplocrepis puniceus"
"71","Fis-112758","Gastrocyathus gracilis"
"72","Fis-112761","Trachelochismus melobesia"
"73","Fis-112766","Dellichthys morelandi"
"74","Fis-112772","Gobiopsis atrata"
"75","Fis-112788","Hippocampus abdominalis"
"76","Fis-112789","Notoclinops caerulepunctus"
"77","Fis-112790","Notoclinops segmentatus"
"78","Fis-112792","Cryptichthys jojettae"
"79","Fis-112793","Bellapiscis medius"
"80","Fis-112797","Gobius ater"
"81","Fis-112799","Ruanoho decemdigitatus"
"82","Fis-112801","Gobius bucchichi"
"83","Fis-112804","Gobius roulei"
"84","Fis-112805","Gobius vittatus"
"85","Fis-112810","Parablennius rouxi"
"86","Fis-112813","Cynoscion similis"
"87","Fis-112814","Echiodon dentatus"
"88","Fis-112819","Scorpaenodes arenai"
"89","Fis-112822","Bathyclupea argentea"
"90","Fis-112823","Pseudoscopelus scriptus"
"91","Fis-112833","Apopterygion alta"
"92","Fis-112843","Apopterygion oculus"
"93","Fis-112881","Forsterygion malcolmi"
"94","Fis-112883","Karalepis stewarti"
"95","Fis-112889","Snyderina guentheri"
"96","Fis-112891","Minous dempsterae"
"97","Fis-112892","Minous inermis"
"98","Fis-112893","Kumococius rodericensis"
"99","Fis-112894","Sorsogona melanoptera"
"100","Fis-112898","Sorsogona nigripinna"
"101","Fis-112899","Cirrhitichthys calliurus"
"102","Fis-112900","Halichoeres stigmaticus"
"103","Fis-112901","Parupeneus margaritatus"
"104","Fis-112902","Upeneus pori"
"105","Fis-112905","Moolgarda pedaraki"
"106","Fis-112910","Pomadasys punctulatus"
"107","Fis-112915","Callionymus carebares"
"108","Fis-112916","Callionymus erythraeus"
"109","Fis-112918","Callionymus hindsii"
"110","Fis-112933","Diplogrammus pygmaeus"
"111","Fis-112941","Callogobius bifasciatus"
"112","Fis-112946","Coryogalops adamsoni"
"113","Fis-112956","Coryogalops anomolus"
"114","Fis-112980","Cryptocentroides arabicus"
"115","Fis-112982","Eviota pardalota"
"116","Fis-112985","Gobiodon reticulatus"
"117","Fis-113002","Lobulogobius omanensis"
"118","Fis-113003","Gobiopsis canalis"
"119","Fis-113005","Palutrus meteori"
"120","Fis-113007","Priolepis randalli"
"121","Fis-113010","Alticus kirkii"
"122","Fis-113012","Antennablennius adenensis"
"123","Fis-113013","Antennablennius hypenetes"
"124","Fis-113018","Antennablennius variopunctatus"
"125","Fis-113020","Mimoblennius cirrosus"
"126","Fis-113024","Parablennius opercularis"
"127","Fis-113028","Torquigener randalli"
"128","Fis-113029","Parablennius thysanius"
"129","Fis-113043","Petroscirtes ancylodon"
"130","Fis-113054","Uranoscopus dollfusi"
"131","Fis-113062","Parapercis maculata"
"132","Fis-113070","Bathygobius meggitti"
"133","Fis-113074","Canthidermis macrolepis"
"134","Fis-113082","Thamnaconus melanoproctes"
"135","Fis-113085","Pseudanthias townsendi"
"136","Fis-113108","Holapogon maximus"
"137","Fis-113146","Coris nigrotaenia"
"138","Fis-113149","Callionymus margaretae"
"139","Fis-113153","Ogilbia ventralis"
"140","Fis-113158","Arcos erythrops"
"141","Fis-113162","Arcos rhodospilus"
"142","Fis-113165","Gobiesox adustus"
"143","Fis-113168","Bodianus prognathus"
"144","Fis-113181","Pseudochromis andamanensis"
"145","Fis-113182","Pseudochromis elongatus"
"146","Fis-113184","Rhabdamia nigrimentum"
"147","Fis-113210","Trichonotus halstead"
"148","Fis-113235","Pseudanthias olivaceus"
"149","Fis-113245","Cirrhilabrus flavidorsalis"
"150","Fis-113258","Parapercis colemani"
"151","Fis-113272","Amblyeleotris yanoi"
"152","Fis-113283","Amblyeleotris masuii"
"153","Fis-113287","Psilogobius mainlandi"
"154","Fis-113288","Phthanophaneron harveyi"
"155","Fis-113302","Axoclinus cocoensis"
"156","Fis-113313","Axoclinus lucillae"
"157","Fis-113326","Axoclinus nigricaudus"
"158","Fis-113332","Bellapiscis lesleyae"
"159","Fis-113380","Meiacanthus abditus"
"160","Fis-113384","Lonchopisthus sinuscalifornicus"
"161","Fis-113413","Eucinostomus dowii"
"162","Fis-113426","Apogon retrosella"
"163","Fis-113429","Apogon atricaudus"
"164","Fis-113438","Crocodilichthys gracilis"
"165","Fis-113441","Enneanectes reticulatus"
"166","Fis-113449","Meiacanthus limbatus"
"167","Fis-113453","Lepidonectes clarkhubbsi"
"168","Fis-113462","Dactyloscopus pectoralis"
"169","Fis-113466","Meiacanthus crinitus"
"170","Fis-113467","Gillellus arenicola"
"171","Fis-113469","Meiacanthus geminatus"
"172","Fis-113473","Meiacanthus vicinus"
"173","Fis-113480","Gillellus searcheri"
"174","Fis-113495","Gillellus semicinctus"
"175","Fis-113497","Heteristius cinctus"
"176","Fis-113503","Platygillellus altivelis"
"177","Fis-113504","Platygillellus bussingi"
"178","Fis-113505","Exerpes asper"
"179","Fis-113513","Malacoctenus ebisui"
"180","Fis-113542","Meiacanthus tongaensis"
"181","Fis-113545","Paraclinus sini"
"182","Fis-113546","Paraclinus tanygnathus"
"183","Fis-113548","Starksia fulva"
"184","Fis-113550","Starksia galapagensis"
"185","Fis-113553","Starksia spinipenis"
"186","Fis-113558","Xenomedea rhodopyga"
"187","Fis-113559","Acanthemblemaria balanorum"
"188","Fis-113560","Acanthemblemaria crockeri"
"189","Fis-113577","Acanthemblemaria exilispinus"
"190","Fis-113583","Acanthemblemaria hancocki"
"191","Fis-113588","Acanthemblemaria macrospilus"
"192","Fis-113599","Meiacanthus reticulatus"
"193","Fis-113601","Chaenopsis deltarrhis"
"194","Fis-113607","Coralliozetus micropes"
"195","Fis-113613","Coralliozetus rosenblatti"
"196","Fis-113620","Coralliozetus springeri"
"197","Fis-113623","Plagiotremus spilistius"
"198","Fis-113633","Malacoctenus hubbsi"
"199","Fis-113645","Ekemblemaria myersi"
"200","Fis-113667","Emblemaria hypacanthus"
"201","Fis-113669","Emblemaria nivipes"
"202","Fis-11367","Coelorinchus acanthiger"
"203","Fis-113671","Emblemaria piratica"
"204","Fis-113673","Emblemaria walkeri"
"205","Fis-113675","Mccoskerichthys sandae"
"206","Fis-113679","Enneapterygius niger"
"207","Fis-113680","Stathmonotus sinuscalifornici"
"208","Fis-113684","Entomacrodus chiostictus"
"209","Fis-11369","Coelorinchus aconcagua"
"210","Fis-113698","Enneapterygius atrogulare"
"211","Fis-113707","Aruma histrio"
"212","Fis-113726","Cerdale ionthas"
"213","Fis-113731","Dotalabrus alleni"
"214","Fis-113732","Barbulifer pantherinus"
"215","Fis-113736","Bollmannia gomezi"
"216","Fis-113737","Notolabrus parilus"
"217","Fis-113740","Chriolepis minutillus"
"218","Fis-113745","Chriolepis zebra"
"219","Fis-113782","Microgobius miraflorensis"
"220","Fis-113783","Notolabrus gymnogenis"
"221","Fis-113787","Microgobius tabogensis"
"222","Fis-113792","Notolabrus tetricus"
"223","Fis-11380","Coelorinchus biclinozonalis"
"224","Fis-113814","Parrella maxillaris"
"226","Fis-113822","Microgobius emblematicus"
"227","Fis-113825","Lythrypnus rhizophora"
"228","Fis-113829","Notolabrus celidotus"
"229","Fis-113838","Lythrypnus pulchellus"
"230","Fis-113842","Lythrypnus insularis"
"231","Fis-113852","Gobiosoma chiquita"
"232","Fis-113864","Notolabrus cinctus"
"233","Fis-113878","Gobulus hancocki"
"234","Fis-113900","Microgobius erectus"
"235","Fis-113904","Microgobius brevispinis"
"237","Fis-113918","Ceratobregma acanthops"
"238","Fis-113923","Ctenogobius sagittula"
"239","Fis-113926","Ctenogobius manglicola"
"240","Fis-113929","Ceratobregma helenae"
"241","Fis-113951","Microgobius cyclolepis"
"242","Fis-113956","Microgobius curtus"
"243","Fis-113987","Tomicodon boehlkei"
"244","Fis-114007","Enneapterygius gracilis"
"245","Fis-11401","Coelorinchus kaiyomaru"
"246","Fis-11405","Coelorinchus karrerae"
"247","Fis-114086","Labichthys yanoi"
"248","Fis-114088","Serrivomer samoensis"
"249","Fis-114098","Bathophilus filifer"
"250","Fis-114103","Enneapterygius kermadecensis"
"251","Fis-114108","Bathypterois longicauda"
"252","Fis-114109","Bathypterois longifilis"
"253","Fis-114110","Enneapterygius larsonae"
"254","Fis-114118","Pseudolabrus rubicundus"
"255","Fis-114122","Pseudolabrus miles"
"256","Fis-114124","Diaphus pacificus"
"257","Fis-114131","Gadella norops"
"258","Fis-114147","Physiculus therosideros"
"259","Fis-114150","Enneapterygius mirabilis"
"260","Fis-114152","Coryphaenoides murrayi"
"261","Fis-114154","Gadomus aoteanus"
"262","Fis-114155","Idiolophorhynchus andriashevi"
"263","Fis-114156","Pictilabrus laticlavius"
"264","Fis-114166","Antipodocottus megalops"
"265","Fis-114167","Alertichthys blacki"
"266","Fis-114170","Scorpaena cardinalis"
"267","Fis-114172","Enneapterygius paucifasciatus"
"268","Fis-114174","Enneapterygius pyramis"
"269","Fis-114176","Pictilabrus viridis"
"270","Fis-114177","Phenacoscorpius megalops"
"271","Fis-114179","Enneapterygius rhabdotus"
"272","Fis-114181","Ectreposebastes niger"
"273","Fis-114184","Forsterygion varium"
"274","Fis-114187","Mendosoma lineatum"
"275","Fis-114188","Ruanoho whero"
"276","Fis-114189","Gilloblennius tripennis"
"277","Fis-114191","Notoclinus fenestratus"
"278","Fis-114193","Notoclinus compressus"
"279","Fis-114195","Notoclinops yaldwyni"
"280","Fis-114196","Cristiceps aurantiacus"
"281","Fis-114197","Ericentrus rubrus"
"282","Fis-114201","Notothenia angustata"
"283","Fis-114202","Chironemus marmoratus"
"284","Fis-114203","Aplodactylus arctidens"
"285","Fis-114204","Limnichthys polyactis"
"286","Fis-114207","Grahamichthys radiata"
"287","Fis-114213","Plectranthias bilaticlavia"
"288","Fis-114214","Pempheris compressa"
"289","Fis-114217","Cheilodactylus fuscus"
"290","Fis-114232","Bembrops morelandi"
"291","Fis-114235","Minous longimanus"
"292","Fis-114240","Austrolabrus maculatus"
"293","Fis-114245","Amblyeleotris rhyax"
"294","Fis-114246","Amblyeleotris callopareia"
"295","Fis-114247","Enneapterygius triserialis"
"296","Fis-114251","Enneapterygius tutuilae"
"297","Fis-114255","Amblyeleotris latifasciata"
"298","Fis-114257","Enneapterygius ziegleri"
"299","Fis-114270","Forsterygion flavonigrum"
"300","Fis-11429","Coelorinchus ventrilux"
"301","Fis-114324","Chlorurus rhakoura"
"302","Fis-114346","Bembrops cadenati"
"303","Fis-114368","Bembrops macromma"
"304","Fis-114378","Bembrops magnisquamis"
"305","Fis-114448","Bembrops nematopterus"
"306","Fis-114457","Forsterygion gymnotum"
"307","Fis-114510","Chauliodus pammelas"
"308","Fis-114525","Lampanyctus macropterus"
"309","Fis-114531","Ateleopus indicus"
"310","Fis-114550","Notacanthus indicus"
"311","Fis-114552","Bathygadus furvescens"
"312","Fis-114556","Bathygadus spongiceps"
"313","Fis-114565","Coryphaenoides macrolophus"
"314","Fis-114576","Helcogramma novaecaledoniae"
"315","Fis-114584","Physiculus peregrinus"
"316","Fis-114586","Gadella edelmanni"
"317","Fis-114615","Ariosoma selenops"
"318","Fis-114618","Rhynchoconger guppyi"
"319","Fis-114623","Monolene atrimana"
"320","Fis-114639","Lepidoblennius haplodactylus"
"321","Fis-114644","Lepidoblennius marmoratus"
"322","Fis-114645","Plectrogenium barsukovi"
"323","Fis-114650","Norfolkia thomasi"
"324","Fis-114690","Trianectes bucephalus"
"325","Fis-114698","Trinorfolkia clarkei"
"326","Fis-114718","Trinorfolkia cristata"
"327","Fis-114720","Trinorfolkia incisa"
"328","Fis-114721","Ucla xenogrammus"
"329","Fis-114735","Neobythites steatiticus"
"330","Fis-114739","Bassozetus glutinosus"
"331","Fis-114756","Poecilopsetta zanzibarensis"
"332","Fis-114767","Paratriacanthodes herrei"
"333","Fis-114937","Symphurus billykrietei"
"334","Fis-114940","Symphurus stigmosus"
"335","Fis-114945","Lipogramma rosea"
"336","Fis-114946","Lipogramma trilineata"
"337","Fis-114960","Starksia occidentalis"
"338","Fis-114973","Elacatinus chancei"
"339","Fis-114974","Elacatinus horsti"
"340","Fis-114976","Elacatinus oceanops"
"341","Fis-114977","Elacatinus prochilos"
"342","Fis-114978","Elacatinus randalli"
"343","Fis-114979","Elacatinus xanthiprora"
"344","Fis-115015","Rhynchoconger gracilior"
"345","Fis-11509","Sillaginodes punctatus"
"346","Fis-115175","Polydactylus quadrifilis"
"347","Fis-115192","Hemilepidotus spinosus"
"348","Fis-115260","Acanthaphritis barbata"
"349","Fis-115342","Gymnachirus melas"
"350","Fis-115352","Symphurus urospilus"
"351","Fis-115360","Acanthurus bariene"
"352","Fis-115417","Ecsenius fijiensis"
"353","Fis-115418","Ecsenius isos"
"354","Fis-115419","Ecsenius lubbocki"
"355","Fis-115461","Careproctus pycnosoma"
"356","Fis-115472","Arhynchobatis asperrimus"
"357","Fis-115474","Bathyraja shuntovi"
"358","Fis-115487","Epinephelus latifasciatus"
"359","Fis-115496","Cottunculus nudus"
"360","Fis-115500","Pterygotrigla pauli"
"361","Fis-115501","Congiopodus coriaceus"
"362","Fis-115502","Helicolenus barathri"
"363","Fis-115511","Arnoglossus scapha"
"364","Fis-115521","Favonigobius lateralis"
"365","Fis-115596","Aulotrachichthys novaezelandicus"
"366","Fis-115604","Coelorinchus bollonsi"
"367","Fis-115610","Symphurus ginsburgi"
"368","Fis-115614","Coelorinchus kermadecus"
"369","Fis-11562","Sillago indica"
"370","Fis-115623","Symphurus marginatus"
"371","Fis-115627","Lophiocharon lithinostomus"
"372","Fis-115629","Coelorinchus innotabilis"
"373","Fis-115632","Coelorinchus oliverianus"
"374","Fis-115644","Symphurus trewavasae"
"375","Fis-115656","Koumansetta rainfordi"
"376","Fis-115669","Coelorinchus argentatus"
"377","Fis-115683","Coelorinchus kamoharai"
"378","Fis-115684","Coelorinchus labiatus"
"379","Fis-115685","Coelorinchus macrochir"
"380","Fis-115687","Coelorinchus scaphopsis"
"381","Fis-115697","Coelorinchus quadricristatus"
"382","Fis-115735","Breviraja colesi"
"383","Fis-115739","Cruriraja poeyi"
"384","Fis-115746","Champsodon nudivittis"
"385","Fis-115751","Chimaera cubana"
"386","Fis-115790","Parahucho perryi"
"387","Fis-115798","Eustomias brevibarbatus"
"388","Fis-115821","Polyipnus laternatus"
"389","Fis-115864","Diaphus minax"
"390","Fis-115865","Scopelarchoides nicholsi"
"391","Fis-115873","Astronesthes similus"
"392","Fis-115888","Symphurus jenynsi"
"393","Fis-115957","Physiculus kaupi"
"394","Fis-115963","Ogcocephalus vespertilio"
"395","Fis-115966","Cruriraja atlantis"
"396","Fis-11598","Sillago robusta"
"397","Fis-115986","Polyipnus asteroides"
"398","Fis-115989","Polyipnus clarus"
"399","Fis-116143","Grammonus diagrammus"
"400","Fis-116241","Tribolodon brandtii"
"401","Fis-116262","Neobythites gilli"
"402","Fis-116271","Hypoplectrus aberrans"
"403","Fis-116279","Pholidichthys anguis"
"404","Fis-116293","Idiastion pacificum"
"405","Fis-116296","Andriashevia aptera"
"406","Fis-116302","Davidijordania jordaniana"
"407","Fis-116311","Gymnelopsis brevifenestrata"
"408","Fis-116314","Carapus dubius"
"409","Fis-116315","Gymnelus hemifasciatus"
"410","Fis-116318","Gymnelus pauciporus"
"411","Fis-116321","Gymnelus popovi"
"412","Fis-116363","Nalbantichthys elongatus"
"413","Fis-116365","Opaeophacus acrogeneius"
"414","Fis-116371","Aiakas kreffti"
"415","Fis-116375","Symphurus microrhynchus"
"416","Fis-11641","Pseudopleuronectes herzensteini"
"417","Fis-116449","Austrolycus depressiceps"
"418","Fis-116458","Austrolycus laticinctus"
"419","Fis-116472","Crossostomus chilensis"
"420","Fis-116477","Dadyanos insignis"
"421","Fis-116479","Exechodontes daidaleus"
"422","Fis-116558","Hadropogonichthys lindbergi"
"423","Fis-116585","Letholycus microphthalmus"
"424","Fis-116592","Lycodapus derjugini"
"425","Fis-116597","Lycodes nakamurae"
"426","Fis-116691","Lycenchelys albomaculata"
"427","Fis-116692","Lycenchelys alba"
"428","Fis-116714","Alosa tanaica"
"429","Fis-116725","Lycenchelys squamosa"
"430","Fis-116726","Lycenchelys verrillii"
"431","Fis-116731","Lycenchelys bachmanni"
"432","Fis-116737","Lycenchelys bullisi"
"433","Fis-116739","Lycenchelys camchatica"
"434","Fis-116742","Lycenchelys cicatrifer"
"435","Fis-116747","Lycenchelys incisa"
"436","Fis-116754","Lycenchelys makushok"
"437","Fis-116755","Lycenchelys micropora"
"438","Fis-116901","Lycenchelys monstrosa"
"439","Fis-116902","Lycenchelys paxillus"
"440","Fis-116910","Lycenchelys porifer"
"441","Fis-116917","Lycenchelys ratmanovi"
"442","Fis-116919","Lycenchelys rosea"
"443","Fis-116926","Lycenchelys scaurus"
"444","Fis-116935","Lycodapus dermatinus"
"445","Fis-116939","Lycodapus poecilus"
"446","Fis-116940","Lycodapus psarostomatus"
"447","Fis-116941","Lycodes adolfi"
"448","Fis-116962","Lycodes concolor"
"449","Fis-116964","Lycodes fasciatus"
"450","Fis-116970","Lycodes microlepidotus"
"451","Fis-116972","Lycodes ocellatus"
"452","Fis-116973","Lycodes paucilepidotus"
"453","Fis-116974","Lycodes pectoralis"
"454","Fis-116994","Coregonus maraena"
"455","Fis-117035","Starksia culebrae"
"456","Fis-117037","Starksia variabilis"
"457","Fis-117079","Lycodes raridens"
"458","Fis-117083","Lycodes schmidti"
"459","Fis-117085","Lycodonus malvinensis"
"460","Fis-117088","Lycodonus mirabilis"
"461","Fis-117092","Notolycodes schmidti"
"462","Fis-117094","Oidiphorus brevis"
"463","Fis-117105","Ophthalmolycus macrops"
"464","Fis-117109","Pachycara crossacanthum"
"465","Fis-117113","Pachycara gymninium"
"466","Fis-117115","Pachycara lepinium"
"467","Fis-117119","Pachycara mesoporum"
"468","Fis-117121","Pachycara pammelas"
"469","Fis-117126","Pachycara sulaki"
"470","Fis-117130","Pachycara suspectum"
"471","Fis-117134","Piedrabuenia ringueleti"
"472","Fis-117143","Plesienchelys stehmanni"
"473","Fis-117150","Pogonolycus elegans"
"474","Fis-117153","Pogonolycus marinae"
"475","Fis-117220","Johnsonina eriomma"
"476","Fis-117350","Neomerinthe beanorum"
"477","Fis-117358","Bothrocara elongatum"
"478","Fis-117370","Peristedion imberbe"
"479","Fis-117375","Peristedion longispatha"
"480","Fis-117378","Gymnelopsis ocellata"
"481","Fis-117422","Lycenchelys alta"
"482","Fis-117773","Ophichthus cylindroideus"
"483","Fis-117866","Lycodes luetkenii"
"484","Fis-117893","Salaria pavo"
"485","Fis-118052","Idiastion kyphos"
"486","Fis-118058","Scorpaena bergii"
"487","Fis-118106","Scorpaena melasma"
"488","Fis-118261","Ernogrammus walkeri"
"489","Fis-118267","Eptatretus carlhubbsi"
"491","Fis-118376","Atherinella brasiliensis"
"492","Fis-118500","Plagiotremus azaleus"
"493","Fis-118509","Favonigobius gymnauchen"
"494","Fis-118529","Pseudophycis barbata"
"495","Fis-11870","Fowleria isostigma"
"496","Fis-118742","Tylosurus fodiator"
"497","Fis-119017","Artediellus dydymovi"
"498","Fis-119162","Coris ballieui"
"499","Fis-119200","Crystallias matsushimae"
"500","Fis-119366","Chlorurus oedema"
"501","Fis-119482","Hymenocephalus torvus"
"502","Fis-119508","Upeneus japonicus"
"503","Fis-119586","Ichthyscopus sannio"
"504","Fis-119716","Bryaninops yongei"
"505","Fis-119913","Acanthaluteres vittiger"
"506","Fis-120072","Nannobrachium nigrum"
"507","Fis-120127","Parmaturus macmillani"
"508","Fis-120202","Cephaloscyllium umbratile"
"509","Fis-120428","Yongeichthys criniger"
"510","Fis-120470","Kuronezumia bubonis"
"511","Fis-120669","Notacanthus sexspinis"
"512","Fis-120720","Trachyrincus longirostris"
"513","Fis-120768","Cepola haastii"
"514","Fis-120785","Neophrynichthys latus"
"515","Fis-120794","Capromimus abbreviatus"
"516","Fis-120888","Pseudoscopelus sagamianus"
"517","Fis-120906","Macroparalepis danae"
"518","Fis-120908","Lestidiops pacificus"
"519","Fis-120918","Snyderidia canina"
"520","Fis-120985","Girella fimbriata"
"521","Fis-120986","Thamnaconus analis"
"522","Fis-120991","Peltorhamphus tenuis"
"523","Fis-121000","Crapatalus novaezelandiae"
"524","Fis-121002","Leptoscopus macropygus"
"525","Fis-121230","Prionurus scalprum"
"526","Fis-121247","Conger orbignianus"
"527","Fis-121312","Echelus uropterus"
"528","Fis-121460","Lepadogaster candolii"
"529","Fis-121492","Choerodon azurio"
"530","Fis-121542","Brotula clarkae"
"531","Fis-121574","Callionymus pleurostictus"
"532","Fis-121626","Lindbergichthys mizops"
"533","Fis-121644","Pseudogramma pectoralis"
"534","Fis-121645","Suttonia lineata"
"535","Fis-121646","Suttonia suttoni"
"536","Fis-121668","Nansenia tenera"
"537","Fis-121672","Diplogrammus randalli"
"538","Fis-121729","Chlorurus bleekeri"
"539","Fis-121730","Scarus xanthopleura"
"540","Fis-121765","Myxine mcmillanae"
"541","Fis-121781","Enneapterygius flavoccipitis"
"542","Fis-121783","Enneapterygius philippinus"
"543","Fis-121821","Bidenichthys beeblebroxi"
"544","Fis-122026","Acentronura breviperula"
"545","Fis-122288","Platycephalus fuscus"
"547","Fis-122901","Aphos porosus"
"548","Fis-122909","Paracetonurus flagellicauda"
"549","Fis-122912","Pterygotrigla guezei"
"550","Fis-122963","Springerichthys kulbickii"
"551","Fis-123048","Plectorhinchus lessonii"
"552","Fis-123096","Coryphaenoides fernandezianus"
"553","Fis-123102","Sargocentron ensifer"
"554","Fis-123114","Bathyclupea hoskynii"
"555","Fis-123121","Chlorophthalmus mento"
"556","Fis-123123","Hoplunnis pacifica"
"557","Fis-123128","Peristedion barbiger"
"558","Fis-123132","Porichthys pauciradiatus"
"559","Fis-123138","Serranus aequidens"
"560","Fis-123139","Serranus huascarii"
"561","Fis-123142","Synchiropus atrilabiatus"
"562","Fis-123148","Chlorurus atrilunula"
"563","Fis-123150","Chlorurus enneacanthus"
"564","Fis-123151","Chlorurus bowersi"
"565","Fis-123152","Chlorurus frontalis"
"566","Fis-123153","Chlorurus perspicillatus"
"567","Fis-123164","Chromis jubauna"
"568","Fis-123176","Sargocentron hormion"
"569","Fis-123179","Sargocentron iota"
"570","Fis-123198","Pseudopercis semifasciata"
"571","Fis-123205","Sphyraena tome"
"572","Fis-123220","Parapercis dockinsi"
"573","Fis-123376","Etmopterus perryi"
"574","Fis-123550","Bathyraja bergi"
"575","Fis-123600","Ophidion imitator"
"576","Fis-123648","Hypomesus japonicus"
"577","Fis-123652","Icelus rastrinoides"
"578","Fis-123653","Icelus stenosomus"
"579","Fis-123655","Apogon robbyi"
"580","Fis-123665","Podothecus sturioides"
"581","Fis-123667","Podothecus veternus"
"582","Fis-123670","Brachyopsis segaliensis"
"583","Fis-123700","Hypsagonus corniger"
"584","Fis-123702","Liparis latifrons"
"585","Fis-123713","Pseudalectrias tarasovi"
"586","Fis-123716","Askoldia variegata"
"587","Fis-123718","Pholidapus dybowskii"
"588","Fis-123727","Lipogramma robinsi"
"589","Fis-123736","Thunnus orientalis"
"590","Fis-123738","Limanda sakhalinensis"
"591","Fis-12375","Pseudopleuronectes americanus"
"592","Fis-123765","Dactyloscopus boehlkei"
"593","Fis-123779","Allenbatrachus grunniens"
"594","Fis-123785","Allenbatrachus reticulatus"
"595","Fis-123790","Pterygotrigla spirai"
"596","Fis-123795","Gramma brasiliensis"
"597","Fis-123810","Dactyloscopus foraminosus"
"598","Fis-123816","Dactyloscopus comptus"
"599","Fis-123824","Callionymus brevianalis"
"600","Fis-123828","Gillellus jacksoni"
"601","Fis-123846","Storrsia olsoni"
"602","Fis-123892","Callionymus leucopoecilus"
"603","Fis-123959","Astronesthes luetkeni"
"604","Fis-123968","Enchelybrotula paucidens"
"605","Fis-123975","Astronesthes lampara"
"606","Fis-124020","Gadella thysthlon"
"607","Fis-124079","Elacatinus figaro"
"608","Fis-124120","Gymnothorax annulatus"
"609","Fis-124123","Gymnothorax mccoskeri"
"610","Fis-124132","Gymnothorax minor"
"611","Fis-124148","Gymnothorax randalli"
"613","Fis-124167","Callechelys catostoma"
"614","Fis-124168","Callechelys eristigma"
"615","Fis-124191","Plesiops auritus"
"616","Fis-124203","Haemulon flaviguttatum"
"617","Fis-124204","Benthosema panamense"
"618","Fis-124208","Ophichthus remiger"
"619","Fis-124211","Peristedion crustosum"
"620","Fis-124272","Careproctus spectrum"
"621","Fis-124273","Careproctus ostentum"
"622","Fis-124274","Paraliparis holomelas"
"623","Fis-124275","Paraliparis ulochir"
"624","Fis-124276","Rhinoliparis barbulifer"
"625","Fis-124280","Careproctus ectenes"
"626","Fis-124298","Plesiops gracilis"
"627","Fis-124322","Plesiops polydactylus"
"628","Fis-124324","Plesiops verecundus"
"629","Fis-124350","Uropterygius xenodontus"
